Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
Tate McRae,4/17/2020,409,75.6,1439465700.0,"169,076","47,204,234",77.0,"706,284,693","7,820,244",880567.0,"188,771,287","1,383,885,042","947,613,259",238.0,"395,572",776,65.0,"1,097,172",38.0,"175,068,272","92,428","20,648,981","5,808,069",1
Young Thug,6/16/2017,410,75.5,458957128.0,"89,812","13,215,590",61.0,"47,166,510","482,132",28665700.0,"112,444,345","1,069,735,982","9,528,686",1.0,135,12,1.0,57,,,,,,1
Mï¿½ï¿½ne,12/8/2017,413,75.4,1601293263.0,"358,760","75,186,063",79.0,"424,132,504","4,191,200",7717647.0,"1,765,938,944","18,153,723,096","1,718,450,782",271.0,"478,458",784,168.0,"2,960,260",55.0,"63,838,488","75,382",,"14,404,336",0
MEYY,6/7/2023,411,75.4,1867282.0,498,"521,031",40.0,"485,422","12,137",4300000.0,"99,212,673","1,267,424,672",,,1,,,,1.0,"3,897",21,,"15,462",0
Maluma,7/29/2020,415,75.3,1289186767.0,"123,303","48,973,048",73.0,"1,464,055,196","7,754,280",729784.0,"9,309,533","131,926,571","371,508,169",201.0,"80,055",98,86.0,"5,370,315",99.0,"105,490,212","45,106",,"2,387,272",0
Sub Urban,1/4/2019,418,75.2,737097685.0,"155,765","20,317,539",68.0,"1,098,942,075","19,179,674",6010728.0,"735,932,695","8,841,517,566","56,344,836",19.0,"23,497",,14.0,"41,677",7.0,"77,491,669","121,008","42,287,751","11,014,789",0
SAINt JHN,5/4/2019,417,75.2,1927961994.0,"323,997","86,092,004",72.0,"320,969,468","3,572,454",399114.0,"47,716,560","525,749,281","319,370,580",387.0,"368,034",,285.0,"2,691,423",51.0,"273,518,696","155,662",,"28,977,015",1
Chris Brown,11/10/2023,419,75.1,179565178.0,"40,225","15,526,253",75.0,"41,976,731","479,163",273400.0,"36,593,416","451,763,725","514,925,755",54.0,"5,615",,25.0,"454,601",9.0,"3,470,078","3,794","4,120,249","2,788,317",1
HISTED,3/8/2024,422,74.9,32435333.0,"2,141","18,509,359",76.0,"57,665,106","1,285,063",550000.0,"83,742,600","1,059,880,600","5,353,152",1.0,,,,,8.0,"28,942",53,,"264,296",0
Chris Brown,10/4/2019,423,74.9,1249760413.0,"202,465","56,664,631",79.0,"699,931,779","6,139,127",1107358.0,"252,070,540","2,436,202,278","257,447,653",186.0,"456,661","1,057",60.0,"1,734,864",39.0,"101,759,650","81,211","17,909,859","12,188,959",1
Oliver Tree,7/17/2020,424,74.8,568230113.0,"142,225","16,247,309",68.0,"531,872,316","9,887,683",8041280.0,"1,122,403,923","11,938,256,726","2,159,219,012",46.0,"48,336",774,19.0,"356,456",16.0,"13,530,275","21,169",,"4,910,428",0
Metro Boomin,12/2/2022,429,74.4,637325281.0,"142,076","31,958,929",79.0,"25,776,208","246,133",12122.0,"7,811,781","58,477,615","145,379",35.0,2,,9.0,"948,806",10.0,"2,184,964","4,214","16,505,933","3,359,877",1
Bailey Zimmerman,6/10/2022,430,74.4,412845771.0,"59,749","11,166,198",73.0,"215,094,924","1,522,549",203904.0,"80,427,947","777,869,891","506,206,031",37.0,"325,922",84,4.0,"2,647",16.0,"260,646,662","39,816","10,255,088","1,315,179",0
The Chainsmokers,1/1/2016,432,74.1,1888829482.0,"206,507","80,884,955",76.0,"2,813,990,127","18,577,555",1564955.0,"439,675,389","6,097,870,496","366,325,473",4.0,"126,648",72,101.0,"784,557",55.0,"768,352,230","344,561",,,0
BLACKPINK,6/15/2018,434,74.0,701726499.0,"51,129","14,859,569",65.0,"3,435,321,800","41,630,558",798667.0,"73,741,892","683,794,564","265,722,945",55.0,"3,420",26,13.0,"200,165",17.0,"13,315,881","51,227",,"1,916,314",0
Kali Uchis,11/18/2020,435,73.9,1151629030.0,"201,783","55,679,157",77.0,"456,651,608","6,111,089",1448920.0,"467,181,048","3,401,301,248","244,384,379",164.0,"173,512","1,303",63.0,"488,896",60.0,"53,202,036","41,954","18,082,840","6,239,619",0
Avicii,1/1/2013,436,73.7,2325017580.0,"347,004","112,575,684",81.0,"3,214,634,614","17,924,466",349966.0,"33,433,988","360,378,218","351,953,763",302.0,"358,498",230,213.0,"1,715,157",87.0,"311,299,334","837,891",,"28,653,448",0
Ofenbach,10/6/2023,437,73.6,232417498.0,"20,983","96,389,865",80.0,"59,799,293","367,721",38115.0,"1,152,032","61,820,477","1,975,097,262",60.0,"191,891",77,83.0,"27,260,772",40.0,"3,871",26,,"3,273,690",0
Bad Gyal,6/22/2023,438,73.6,318567928.0,"42,351","29,908,589",69.0,"313,180,496","1,792,729",263600.0,"102,425,830","797,526,303","511,333,068",43.0,"16,430",17,28.0,"608,263",45.0,"2,065,718","1,938","937,320","857,885",1
Juice WRLD,4/13/2018,439,73.5,1615353665.0,"219,797","40,289,611",76.0,"130,721,152","1,378,012",329183.0,"40,216,565","294,545,167",32,37.0,610,31,25.0,"136,348",2.0,"95,930,512","146,577","229,990,892","3,146,346",1
Creeds,3/31/2023,441,73.4,274229438.0,"81,319","88,956,153",77.0,"22,545,691","353,908",2001804.0,"84,624,881","1,182,280,724",,31.0,"7,748",33,66.0,"1,432,651",26.0,"471,372",925,"2,972,813","986,887",0
Ava Max,3/12/2020,440,73.4,955439608.0,"130,031","24,897,061",73.0,"627,987,518","6,208,902",2483437.0,"192,674,077","2,036,664,297","2,083,362,305",175.0,"668,145","1,183",123.0,"2,128,228",40.0,"154,195,791","77,421",,"8,517,243",0
Harry Styles,12/6/2019,442,73.2,1670164200.0,"171,120","93,127,826",78.0,"721,445,001","8,290,855",381926.0,"125,662,413","805,399,161","1,840,306,341",254.0,"811,625",408,131.0,"1,195,898",59.0,"137,719,148","80,750",,"6,307,292",0
Travis Scott,10/4/2019,443,73.2,1625149693.0,"304,394","58,905,241",78.0,"925,241,514","9,308,268",164816.0,"74,049,746","713,021,988","179,905,608",211.0,"83,260",192,67.0,"491,690",58.0,"184,172,216","79,322",,"4,613,459",1
Davido,3/30/2023,444,73.2,155390490.0,"51,032","16,505,336",68.0,"135,400,007","1,021,624",1871311.0,"80,258,156","1,043,240,094","42,080,992",99.0,"40,272",339,33.0,"903,393",60.0,"4,099,754","1,865","3,549,319","2,290,047",1
Jung Kook,11/20/2022,448,73.0,419016792.0,"24,878","16,888,060",42.0,"299,024,405","6,706,233",3400000.0,"417,635,777","5,766,443,841","130,833,442",13.0,"15,581",42,5.0,"48,194",16.0,"1,971,463",929,,"1,878,044",0
Taylor Swift,8/23/2019,451,72.8,2188247133.0,"121,479","201,964,859",88.0,"342,388,433","2,291,619",3233521.0,"465,904,062","4,967,025,679","822,448,758",273.0,"913,464","1,264",122.0,"21,554,174",117.0,"60,954,563","84,157","2,171,676","3,476,323",0
French Montana,1/1/2017,454,72.6,2065697126.0,"275,044","91,691,537",82.0,"2,173,793,028","11,604,315",133949.0,"68,712,610","631,867,114","402,513,671",191.0,"105,138",267,114.0,"739,260",45.0,"505,767,047","265,307",,,1
Stray Kids,5/10/2024,457,72.0,29994527.0,"1,665","25,533,535",57.0,"39,678,645","1,520,092",38704.0,"1,533,045","5,347,400","35,590,514",12.0,"1,664",12,7.0,"477,416",45.0,"277,540",314,"119,216","69,265",0
ALEX&RUS,7/3/2019,460,71.9,52830200.0,"14,893","1,344,212",41.0,"263,688,786","1,760,965",19100000.0,"295,333,807","5,821,447,553",,2.0,430,,,,,,,,"3,415,809",0
Adam Port,6/7/2024,459,71.9,5917083.0,"1,348","19,711,644",67.0,"1,541,922","39,879",21800.0,"4,700,915","53,279,473",,45.0,12,3,14.0,"669,637",22.0,"28,895",16,,"196,937",0
Lil Tjay,8/9/2019,461,71.7,731933924.0,"186,835","18,420,557",70.0,"534,384,489","4,951,977",393517.0,"18,913,500","173,278,256","7,568,168",40.0,"1,919",51,12.0,"37,259",2.0,"39,513,101","67,866","139,571,395","1,966,253",1
James Arthur,9/9/2016,462,71.5,2830962669.0,"233,504","128,647,419",82.0,"2,083,619,058","11,898,213",1750319.0,"96,711,415","792,720,612","1,446,089,800",218.0,"122,867",68,114.0,"616,176",52.0,"662,857,879","312,119",,"5,869",0
Taylor Swift,1/1/2014,463,71.5,1829733410.0,"157,465","49,558,504",76.0,"3,624,778,617","16,916,871",104685.0,"38,075,232","346,032,878","1,811,140,554",154.0,"41,483",123,107.0,"566,690",28.0,"730,704,780","855,164","749,243","12,259,073",0
Maroon 5,11/3/2017,464,71.4,399689964.0,"43,481","8,855,966",63.0,"3,623,407,739","21,725,999",597.0,"589,841","6,559,308","2,200,700,275",8.0,"37,551",,6.0,"167,434",6.0,"95,808,186","28,398","1,318,952","5,910,625",1
Kendrick Lamar,3/31/2017,466,71.4,2226869580.0,"311,766","77,191,099",80.0,"1,281,355,260","11,551,257",1180701.0,"90,304,316","769,720,113","209,307,607",357.0,"84,979",692,111.0,"657,065",94.0,"562,540,114","476,433",,"7,692,756",1
Lewis Capaldi,9/9/2022,465,71.4,343556188.0,"53,783","14,916,823",69.0,"78,559,130","611,379",30806.0,"18,533,179","268,283,723","350,881,548",76.0,"641,638",220,25.0,"1,291,476",39.0,"36,438,448","3,704",,"3,723,951",0
Nicki Minaj,8/12/2022,468,71.2,549382975.0,"88,241","44,497,733",64.0,"128,432,797","2,507,944",777200.0,"583,041,946","5,107,877,505","1,132,042,114",93.0,"331,869","3,028",32.0,"1,112,754",82.0,"47,944,657","27,729",,"2,630,957",1
Calvin Harris,3/10/2023,470,71.1,425999315.0,"91,229","100,955,340",74.0,"81,238,584","760,116",144223.0,"20,190,291","342,295,893","741,916,635",183.0,"21,709",40,132.0,"4,296,671",79.0,,,"12,510,698","4,349,283",0
Gotye,1/1/2011,471,71.0,1752826514.0,"352,833","87,651,528",74.0,"2,729,174,469","22,532,779",312945.0,"551,329,120","4,679,645,090","490,308,209",202.0,"301,048",474,115.0,"967,797",71.0,"878,651,542","1,581,901","15,266,983","37,339,828",0
Charlie Puth,11/5/2015,474,70.6,1859886400.0,"161,156","90,365,431",78.0,"3,951,663,770","23,086,917",75102.0,"49,222,866","265,917,250","2,123,773,688",2.0,"82,648",52,110.0,"964,719",32.0,"174,287,836","153,399",,,0
Kreepa,12/13/2019,473,70.6,40284121.0,"14,548","3,212,878",41.0,"17,978,707","466,425",18821381.0,"4,959,548,763","61,088,562,861","994,245",15.0,113,333,12.0,"240,117",4.0,"384,569","3,503",,"31,859",1
Polo G,2/7/2019,472,70.6,858059276.0,"181,654","27,803,039",70.0,"464,768,581","3,626,173",732132.0,"48,817,948","417,831,392","25,717,036",46.0,"31,276",73,16.0,"326,481",15.0,"102,388,116","214,657","144,090,448","2,592,470",1
Lukas Graham,6/16/2015,475,70.5,1916203330.0,"218,955","70,223,741",78.0,"2,155,590,787","17,104,498",1080789.0,"102,852,730","877,998,186","1,859,362,069",176.0,"119,470",79,62.0,"247,841",29.0,"608,909,370","838,417","43,283,341",,0
Zach Bryan,4/22/2022,478,70.4,891578597.0,"134,151","56,220,971",82.0,"121,756,122","612,540",428919.0,"61,522,352","536,850,823","545,454,569",78.0,8,86,37.0,"4,894,376",69.0,"94,783,587","127,557","13,539,327","1,548,284",0
KAROL G,2/24/2023,477,70.4,629102459.0,"31,206","51,913,972",81.0,"317,295,184","924,600",969500.0,"28,700,787","404,330,162","814,335,857",45.0,"46,179",387,30.0,"3,549,738",23.0,"38,480,759","8,821",,"1,252,595",1
Pharrell Williams,1/1/2013,476,70.4,1379786786.0,"204,118","68,556,599",75.0,"1,307,002,701","8,641,116",3028049.0,"187,452,999","2,112,220,730","1,231,886,563",453.0,"304,081",,293.0,"1,837,708",117.0,"623,561,936","2,990,195",,"19,268,856",0
Chayanne,5/25/2023,479,70.2,136724343.0,"15,391","18,104,979",72.0,"252,644,706","1,115,099",1500000.0,"24,961,548","525,208,493","1,343,661,668",18.0,"39,119",4,25.0,"1,739,239",25.0,"15,483,578","5,649",,"1,152,569",0
Shawn Mendes,6/3/2016,481,70.2,2164074552.0,"183,260","79,238,401",80.0,"2,766,700,889","14,538,731",656214.0,"34,125,620","218,876,789","1,763,875,267",110.0,"229,473",361,370.0,"421,827",25.0,"406,331,285","165,727",,"9,988,881",0
Feid,8/19/2022,483,70.1,944833760.0,"84,300","40,737,356",78.0,"442,672,273","1,382,190",712759.0,"110,146,879","1,137,735,925","656,176,233",58.0,"35,382",847,29.0,"4,232,864",38.0,"5,607,959","2,694",,"1,105,660",0
Passenger,7/27/2012,484,70.1,2252713547.0,"84,884","25,149,126",69.0,"3,967,431,755","18,261,574",822.0,"19,565,297","198,665,893","1,802,593,895",153.0,"128,380",,12.0,"16,047",14.0,"992,473,803","965,474","57,076,563",,0
Lithe,3/21/2024,485,70.1,78227549.0,"10,811","34,967,691",81.0,"18,048,583","346,316",1827.0,"366,700","5,400,000","10,740,206",59.0,604,,7.0,"10,139,201",36.0,"350,778","1,442","2,612,424","1,712,744",0
Twenty One Pilots,4/28/2015,482,70.1,2313532702.0,"333,612","85,684,817",79.0,"3,241,796,669","22,573,742",440911.0,"82,148,305","664,725,202","508,271,083",10.0,"257,332",288,93.0,"590,706",50.0,,,,,0
Masked Wolf,1/1/2019,486,70.0,1251675613.0,"233,472","41,467,312",67.0,"1,001,433,936","13,378,087",149047.0,"21,845,741","338,873,585","559,326,384",245.0,"263,773","1,544",65.0,"1,861,112",35.0,"317,474,727","297,850",,"14,636,399",1
John Legend,1/1/2012,487,69.8,2382407025.0,"259,202","144,805,002",80.0,"3,064,193,777","17,820,289",536497.0,"59,268,693","643,209,321","1,769,031,393",295.0,"225,220",341,229.0,"2,030,488",107.0,"1,043,817,740","1,278,265",,"28,058,207",0
Sleepy Hallow,4/14/2021,488,69.7,811700245.0,"195,603","31,185,690",77.0,"168,936,854","1,450,642",321061.0,"90,460,360","752,325,431","214,637,799",39.0,"5,018",232,18.0,"217,873",8.0,"7,644,784","21,061","66,695,368","925,014",1
Childish Gambino,11/17/2016,489,69.6,1615152539.0,"377,159","51,251,842",76.0,"887,924,965","7,755,679",111904.0,"56,162,755","430,258,743","5,477,326",271.0,"52,893",137,69.0,"241,966",86.0,"283,815,218","303,599","87,687,804","12,370,090",1
Carolina Gaitï¿½ï¿½n - La G,11/19/2021,493,69.4,502781351.0,"57,858","20,151,204",68.0,"749,366,767","5,566,798",601478.0,"415,546,697","3,341,780,836","65,811,641",88.0,"22,082",,8.0,"183,506",34.0,"66,651,535","277,556","5,144,020","828,770",0
Morgan Wallen,5/13/2022,494,69.3,644437397.0,"64,367","18,795,673",79.0,"141,964,689","814,824",128357.0,"28,267,176","327,463,451","437,506,457",49.0,"340,292",301,7.0,"100,845",29.0,"272,571,584","45,356","6,380,974","899,954",0
Imagine Dragons,9/3/2021,495,69.2,1502382072.0,"240,419","57,503,380",75.0,,,913200.0,"449,105,708","4,053,240,923",,118.0,"137,391",,55.0,"2,576,050",65.0,"36,985,295","73,848",,,0
Dua Lipa,3/25/2020,496,69.2,1198689895.0,"130,486","49,149,923",71.0,"761,387,435","6,874,611",975132.0,"134,321,535","1,509,626,629","2,047,745,592",203.0,"586,919",348,301.0,"405,292",37.0,"190,687,007","33,201",,"6,690,156",0
BLACKPINK,9/16/2022,497,69.0,654818451.0,"39,852","17,682,503",67.0,"633,781,726","11,421,404",844032.0,"374,048,198","3,365,539,262","383,386,318",34.0,"18,744",201,15.0,"202,016",29.0,"2,834,793","6,453",,"909,449",0
Tollan Kim,3/31/2022,501,68.8,1212312.0,560,"367,540",32.0,"668,067","10,341",9268296.0,"888,782,233","14,162,352,713",,,1,,1.0,6,,"29,241","1,149",,"46,761",0
Bad Bunny,10/11/2018,503,68.7,1318254846.0,"159,832","44,868,247",71.0,"1,572,511,545","8,633,372",535956.0,"20,456,871","244,589,825","518,407,208",163.0,"104,438",100,94.0,"1,189,554",66.0,"219,127,089","82,409","36,852,822","6,952,792",0
Drake,4/3/2020,505,68.7,1059262917.0,"200,623","36,388,485",64.0,"507,137,305","5,604,031",3039186.0,"404,119,328","3,734,881,670","352,518,335",146.0,"185,567",31,79.0,"1,163,129",30.0,"122,896,641","156,657",,"5,308,249",1
KAROL G,2/24/2023,506,68.7,426341106.0,"29,511","24,418,991",76.0,"304,538,874","2,238,586",1577292.0,"68,382,766","871,654,140","172,894,442",22.0,"31,573",131,18.0,"2,850,884",57.0,"18,389,679","4,957",,"587,533",0
Taylor Swift,4/18/2024,504,68.7,210385853.0,"5,179","38,317,286",80.0,"18,713,330","225,439",46800.0,"9,697,319","65,541,536","934,654",92.0,"3,721",,6.0,"2,177,148",80.0,"6,242,005","4,341","166,934","84,774",1
Mustard,6/28/2019,502,68.7,907346612.0,"200,091","36,757,073",69.0,"372,311,322","3,400,085",145147.0,"27,666,027","245,290,801","39,893,642",91.0,644,34,15.0,"102,131",7.0,"161,252,380","131,927","124,054,000","5,562,800",1
Doja Cat,5/6/2022,509,68.2,553783547.0,"83,450","40,562,156",68.0,"238,368,386","2,671,201",481825.0,"313,806,405","2,994,040,421","62,996,039",57.0,"355,757","1,832",25.0,"274,193",51.0,"80,033,346","22,268",,"3,470,453",1
Marshmello,3/3/2023,510,68.2,528420867.0,"59,791","80,570,021",75.0,"211,317,309","842,146",252314.0,"28,930,444","451,806,178","317,407,332",84.0,"103,743",117,70.0,"3,574,930",97.0,"13,770,084","2,950",,"3,007,373",0
Muni Long,9/15/2023,513,68.1,142945230.0,"13,253","40,716,529",76.0,"66,893,881","833,116",887.0,"2,044,007","17,122,064","714,859,998",59.0,"181,747",401,41.0,"9,215,342",50.0,"32,652,221","30,096",,"2,466,891",0
Travis Scott,7/28/2023,512,68.1,313693195.0,"92,838","14,575,457",75.0,"31,625,039","372,407",7369.0,"3,576,724","32,670,713","1,382",17.0,232,,8.0,"61,212",10.0,"655,691","3,601",,"809,119",1
Polo G,5/15/2020,516,68.0,885756212.0,"212,406","24,064,966",76.0,"226,717,718","2,205,890",340101.0,"27,626,217","200,329,006","3,481,432",46.0,"12,382",51,9.0,"33,343",,"56,515,925","46,630","92,358,945","1,642,067",1
Ariana Grande,11/3/2018,515,68.0,1878196824.0,"134,913","54,753,824",73.0,"1,479,999,649","20,977,857",1542901.0,"119,391,916","982,464,070","919,652,612",238.0,"190,014",400,371.0,"885,834",87.0,"263,689,593","359,639",,"26,082",1
Drake,4/4/2016,518,67.9,3192204066.0,"379,853","131,832,723",82.0,"456,806,913","5,068,762",2381341.0,"51,227,212","388,544,079","6,670,180",550.0,"184,311",932,165.0,"1,383,884",97.0,"714,508,129","601,041",,"21,316,589",0
Surf Mesa,11/26/2019,517,67.9,912461674.0,"160,875","50,549,340",70.0,"200,055,211","2,666,083",7407429.0,"285,084,510","3,076,620,938","19,649,172",210.0,"270,224",389,124.0,"834,608",50.0,"135,049,021","49,762","62,715","8,738,165",0
XXXTENTACION,3/16/2018,519,67.8,1442703001.0,"201,082","35,338,608",78.0,"460,915,912","7,439,249",699601.0,"36,684,132","325,870,631","1,874,799",15.0,4,4,5.0,"2,958",6.0,"72,855,904","120,369","173,136,245","4,703,306",1
P!nk,1/27/2023,520,67.6,255898884.0,"35,610","35,412,821",65.0,"95,799,266","746,279",63475.0,"9,770,601","112,935,118","391,385,059",80.0,"420,110",74,38.0,"2,641,584",73.0,"43,499,109","6,473",,"3,282,634",0
Justin Bieber,2/7/2020,521,67.5,1177960398.0,"124,387","38,596,274",69.0,"1,048,571,287","8,326,026",532220.0,"56,736,712","517,889,307","2,283,133,309",250.0,"368,080",147,82.0,"1,109,498",33.0,"188,459,753","85,534",,"4,952,770",0
Internet Money,8/14/2020,523,67.3,1320495311.0,"280,937","43,396,860",12.0,"446,997,037","4,911,417",1028504.0,"178,619,501","1,355,578,291","232,205,977",191.0,"1,353",147,67.0,"1,457,645",3.0,"100,566,058","32,236",,"4,854,882",1
The Kid LAROI,11/6/2020,524,67.0,927908363.0,"192,182","29,317,288",69.0,"201,781,716","2,768,029",1806340.0,"276,254,807","2,189,403,368","106,102,604",179.0,"534,728",803,41.0,"391,181",22.0,"78,876,080","52,624",,,1
Central Cee,12/15/2022,526,66.9,415699405.0,"131,562","25,729,246",70.0,"120,716,253","1,505,981",71800.0,"43,271,885","459,919,455","39,958,162",37.0,"59,291",271,24.0,"581,393",41.0,"3,691,271","1,120",,"1,781,022",1
Megan Thee Stallion,4/29/2020,528,66.8,428986855.0,"49,403","19,102,863",57.0,"179,237,329","1,934,526",11268723.0,"807,114,884","7,823,796,917","15,380,362",151.0,"162,045",82,60.0,"136,408",8.0,"86,651,635","74,696",,"2,104,217",1
Don Toliver,5/29/2019,529,66.8,922761340.0,"176,497","26,466,335",74.0,"469,284,408","5,223,780",5114497.0,"684,428,445","5,254,571,599","110,233,854",99.0,"6,060",48,42.0,"178,187",3.0,"6,865,074","48,657","64,436,371","4,594,225",0
Justin Bieber,11/9/2015,530,66.8,2423583406.0,"221,550","85,152,861",78.0,"2,154,325,842","11,828,484",412296.0,"54,794,151","546,197,873","1,521,238,263",287.0,"216,976",210,114.0,"644,719",68.0,"579,271,026","399,649",,"16,182,850",0
Carella,2/13/2021,532,66.6,149072.0,53,"14,039",7.0,,,13600432.0,"29,203,710","339,961,056",,,,,,,,,,,857,0
Jelly Roll,12/9/2022,533,66.5,166866092.0,"26,335","16,587,886",73.0,"49,337,131","600,551",56261.0,"9,453,847","133,788,711",,,"484,892",115,,,,"127,959,443","29,847","2,007,248","1,174,949",0
Fifth Harmony,1/1/2016,535,66.4,1429277695.0,"126,593","41,728,493",71.0,"2,888,870,306","12,986,504",1577534.0,"83,366,309","1,155,210,017","1,722,808,916",206.0,"60,579",227,93.0,"463,563",18.0,"522,618,482","298,209",,"10,883,810",0
Khaid,7/14/2023,536,66.3,14645123.0,"2,424","586,834",52.0,"28,065,515","194,782",3325481.0,"18,297,800","222,489,625","55,637,507",6.0,"1,101",,,,,"57,777",,,"982,458",1
Camila Cabello,10/29/2021,539,66.2,907821800.0,"106,835","71,070,491",68.0,"242,506,280","2,540,594",165069.0,"54,851,263","702,113,761","4,973,499,360",152.0,"478,141","1,115",98.0,"2,702,560",79.0,"47,200,073","18,000",,"7,126,240",0
Tiï¿½ï¿,11/4/2021,540,66.2,818199643.0,"147,373","98,477,761",70.0,"300,558,745","1,923,570",121422.0,"28,637,203","591,641,859","2,987,052,499",223.0,"219,365","1,085",129.0,"3,090,312",73.0,"99,191,606","14,575",,"4,987,597",0
Selena Gomez,8/25/2023,538,66.2,205555865.0,"18,831","38,391,532",70.0,"62,487,981","1,546,366",68600.0,"22,643,113","237,154,932","1,218,609,754",71.0,"240,483",504,42.0,"8,773,245",71.0,"25,564,674","4,700",,"1,178,404",0
Lil Peep,9/19/2018,541,66.1,1156060152.0,"189,320","31,366,549",76.0,"402,381,959","5,703,867",71568.0,"19,623,543","153,710,600","15,276,414",31.0,"13,034",,13.0,"184,670",15.0,"76,107,776","61,292","163,972,594","3,142,956",1
Becky G,4/20/2018,542,65.9,785389574.0,"70,607","24,678,614",61.0,"2,377,255,570","10,176,631",4050216.0,"68,127,919","989,856,037","363,969,139",86.0,"17,546",113,46.0,"189,420",54.0,"90,287,323","55,796",,"4,130,954",0
Morgan Wallen,1/8/2021,545,65.7,717226454.0,"73,851","11,500,647",79.0,"404,363,419","2,296,639",55649.0,"7,599,044","86,145,458","350,781,335",41.0,"391,795",273,3.0,"5,348",7.0,"431,750,490","127,122","14,272,948","2,061,209",0
Beyoncï¿,6/21/2022,544,65.7,443564590.0,"80,121","43,604,917",64.0,"122,345,818","1,753,026",247082.0,"93,051,722","1,231,848,412","4,088,928,383",210.0,"436,049","1,089",73.0,"1,986,611",115.0,"24,808,925","23,163","4,766,826","2,682,867",0
Kordhell,1/21/2022,547,65.6,668285368.0,"120,095","62,454,609",74.0,"135,561,359","1,695,128",1103489.0,"258,958,538","2,877,613,437",,21.0,508,338,7.0,"127,461",10.0,"5,328,696","7,896","38,200,577","2,597,736",1
Sia,1/21/2016,548,65.5,1285237951.0,"166,761","75,244,498",76.0,"1,383,536,938","11,277,243",7657876.0,"920,079,246","14,808,888,629","2,811,155,497",124.0,"654,509",549,86.0,"1,468,966",52.0,"92,645,908","86,880",,"15,422,384",0
Olivia Rodrigo,5/21/2021,550,65.5,1564979439.0,"150,597","73,290,053",80.0,"500,794,182","7,451,635",453412.0,"392,179,677","2,639,611,818","2,578,474,407",147.0,"93,825",182,29.0,"150,235",25.0,"64,240,084","79,459",,"3,156,314",0
Travis Scott,9/16/2016,549,65.5,2396737761.0,"381,756","90,317,118",82.0,"1,334,796,210","12,947,143",1025273.0,"181,634,476","1,545,294,272","202,525,787",210.0,"38,443",51,82.0,"2,173,347",30.0,"350,431,346","278,196",,"8,025,643",1
J Balvin,5/28/2021,552,65.3,811810737.0,"117,049","31,186,381",67.0,"874,107,993","4,127,669",914703.0,"200,383,930","1,748,578,220","176,466,990",108.0,"43,750",105,34.0,"1,198,593",72.0,"23,369,752","4,765",,"1,744,699",0
Muni Long,11/19/2021,551,65.3,241632869.0,"58,384","11,312,967",67.0,"179,211,319","1,646,854",2843662.0,"390,407,298","3,549,690,741","106,620,435",38.0,"211,697",550,7.0,"462,675",36.0,"147,650,715","84,029","12,316,319","2,325,531",1
BTS,4/12/2019,553,65.0,1165842896.0,"62,333","28,686,399",70.0,"2,104,797,932","35,291,841",1944635.0,"287,006,154","2,199,922,028","161,956,996",111.0,"26,812",62,31.0,"612,134",26.0,"18,793,416","29,530",,"3,328,531",0
Troye Sivan,9/9/2021,554,64.9,533416336.0,"51,383","15,263,459",68.0,"293,168,763","2,744,278",6384142.0,"410,346,965","4,418,855,338","1,548,038,923",49.0,"31,921",23,15.0,"12,354",25.0,"1,140,347","2,750",,"1,409,744",0
Drake,9/3/2021,555,64.7,559759920.0,"159,492","30,567,448",67.0,"190,901,062","2,026,532",763500.0,"263,361,535","2,410,691,959","190,621,640",102.0,"3,271",750,27.0,"359,622",45.0,"72,871,746","170,628","21,747,449","2,092,908",1
Feid,6/7/2024,557,64.5,8757910.0,"1,184","87,529,320",71.0,"3,466,744","141,011",9478.0,"3,201,272","25,443,365","973,900",51.0,220,,21.0,"3,488,226",31.0,"126,541",36,"18,913","57,091",1
Mï¿½ï¿½ne,3/19/2021,558,64.4,1053626902.0,"240,281","35,343,056",77.0,"286,243,073","5,394,802",415619.0,"226,005,917","1,755,214,047","275,474,626",117.0,"53,353",185,50.0,"1,407,171",44.0,"18,935,940","25,775",,"6,698,043",1
Future,4/29/2022,560,64.3,395167576.0,"135,307","21,175,776",71.0,"117,364,602","803,990",31391.0,"6,266,752","66,661,123","325,170,705",31.0,"1,129",135,6.0,"83,735",4.0,"14,036,841","8,254","36,310,823","1,076,988",1
Jung Kook,9/29/2023,559,64.3,573249007.0,"27,154","33,077,841",74.0,"166,687,005","4,539,515",30142.0,"9,786,252","66,859,275","1,859,365,360",19.0,,25,30.0,"1,569,004",49.0,"2,506,963","1,609",,"1,379,108",1
Lil Uzi Vert,3/24/2017,562,64.2,2123458039.0,"59,071","11,326,598",24.0,"243,662,429","2,597,999",12978.0,"2,359,976","17,150,790","1,106,864",210.0,"37,617",,21.0,"230,295",20.0,"373,744,739","241,816","264,706,631","5,943,217",1
Rihanna,10/28/2022,563,64.2,378282960.0,"66,018","36,625,617",65.0,"44,883,383","477,531",676437.0,"120,792,885","1,367,774,822",,109.0,"244,607",4,56.0,"951,077",79.0,"70,799,533","27,709",,"5,877,217",0
