Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
Tiagz,8/11/2023,"2,172",30.8,39715603.0,"13,502","1,974,605",60.0,"84,439,011","951,441",466855.0,"94,227,206","1,032,372,538","389,715,914",,55,282,1.0,"2,078",,"126,764","2,097",,,0
Troye Sivan,9/20/2023,"2,180",30.7,125169958.0,"19,673","11,567,850",5.0,"22,661,967","332,818",6720.0,"8,601,376","136,718,693","1,095,965,496",60.0,"43,542",3,29.0,"395,765",30.0,"541,336",671,,"982,286",1
SZA,12/9/2022,"2,178",30.7,452881574.0,"59,064","17,662,712",73.0,"30,642,267","285,150",74165.0,"53,009,405","449,104,323","9,997",22.0,439,56,13.0,"111,469",1.0,"5,145,081","4,505",,"884,773",1
One Direction,11/17/2014,"2,179",30.7,1548151634.0,"154,325","92,409,509",83.0,"948,760,574","9,009,457",741824.0,"207,100,684","1,820,024,186","1,693,474,545",66.0,"9,645",17,36.0,"231,749",19.0,"113,124,423","72,174",,"5,939,223",0
Christian Nodal,4/15/2019,"2,182",30.7,518477840.0,"40,921","13,324,377",71.0,"970,377,956","2,794,007",103630.0,"7,645,273","135,032,701","20,695,397",39.0,"9,614",190,18.0,"2,807,120",31.0,"57,510,012","10,935",,"1,164,732",0
Eternxlkz,11/17/2023,"2,183",30.7,73316998.0,"6,863","23,952,817",75.0,"48,425,342","581,515",300700.0,"53,837,087","695,420,301",,2.0,,,,,,,,,"698,469",1
D. Savage,2/17/2023,"2,181",30.7,3608717.0,"3,268","109,837",40.0,"340,092,596","5,238,903",442.0,"23,970","316,425","1,600,044",,5,,,,,"55,387",,,,1
Kendrick Lamar,4/14/2017,"2,184",30.7,1157112366.0,"185,660","44,429,618",75.0,"356,343,325","3,573,193",86503.0,"11,663,427","97,997,064","165,019,302",191.0,340,63,45.0,"179,785",34.0,"318,401,958","128,722",,"2,244,068",1
Ty Dolla $ign,6/10/2014,"2,197",30.6,949312501.0,"152,498","28,278,237",74.0,"858,285,365","5,419,110",8535.0,"11,730,568","70,600,246","148,190,236",30.0,482,,7.0,"4,123",8.0,"568,114,702","286,287",,"2,633,407",1
ROSALï¿½,3/4/2022,"2,192",30.6,222910969.0,"42,182","10,406,462",61.0,"69,332,188","971,738",1874811.0,"1,019,396,452","11,257,489,400","20,397,038",34.0,"10,985","2,464",23.0,"134,321",28.0,"3,718,270","2,356",,"1,284,746",1
Ellie Goulding,2/1/2015,"2,193",30.6,1532983094.0,"116,546","49,188,494",70.0,"48,109,240","469,999",452925.0,"63,198,736","732,908,886",,216.0,"206,669",,107.0,"702,636",78.0,"631,056,114","443,298",,"19,968,269",0
